영단어|한국단어|설명
Emergency Shut Down Test|비상차단시험|비상시를 대비하여 비상차단장치의 작동을 시험하는 것
Emergency Shutdown|비상 차단|NULL
Emergency Stop Test|긴급정지시험|기관의 긴급정지를 확인하는 시험
Emigrant Ship|이민선|이민을 실어나르는 배
Emitter|이미터|소리와 함께 시각신호도 같이 내는 신호장치
Emitter Coupled Transistor|이미터 트랜지스터 논리회로|NULL
Empirical Data|경험적(經驗的) 자료|NULL
Employee Involvement|종업원 참여(參與|NULL
Enclosed Ceiling|틈없는내장|나무판재를 틈 없이 붙이는 내장방식
Enclosed Portable Type Cargo Light|특수하역등|석탄운반선의 선창조명에 사용되는 진폐형 이동식조명기구
Enclosed Space|밀폐구역(密閉區域|NULL
Enclosed spaces|폐위구역|강제적인 통풍이 없는 경우에 폭발성 기체가 자연적으로 소멸할 수 없으며 질식 등의 위험이 있는 구역. 예시로는 화물구역, 펌프실, 연료탱크, 코퍼댐 등이 있음
End Link|끝고리|체인의 끝에 붙은 연결용고리토막
End Tab (Run-off Tab|앤드 태브|NULL
Endurance Limit|내구한계(耐久 限界|NULL
Endurance Trial|내구 시험(耐久試驗|NULL
Energy Management System|중앙 급전 시스템|NULL
Enforcement|집행|일반적으로 이행(Implementation)과 비교하여 설명되는데, 이행은 자국 또는 당국 스스로 규정된 규칙을 시행되도록 권고하는 의미이며, 집행(Enforcement)은 좀 더 강제적으로 여러 수단을 동원하여 규칙을 시행되도록 권고하는 것임
Engine Control Console|기관제어콘솔|NULL
Engine Room Arrengement|기관실배치도|기관실 안의 주기를 비롯한 각종 기기와 설비를 나타내주는 도면
Engine Room Bulkhead|기관실격벽|기관실 앞에 설치되는 수밀 횡격벽
Engine Watch|기관당직|시간을 정하여 교대로 기관실의 운전을 감시하는 것
EngineMagnet|무정전 전원장치의 한 방식|NULL
Enlarged Scale|배척(培尺|NULL
Ensign|상선기|상선의 국적을 나타내는 깃발
Ensign Staff|국기 깃대(船尾깃대|NULL
Entropy|엔트로피|열역학 용어로 열이동에 따라 유효하게 사용할 수 있는 에너지감소를 양으로 나타낸 값을 말함
Entry Guide|엔트리 가이드|NULL
Entry into force|발효|발효란 합의된 조약이 실제로 당사국에 대해 법적 구속력이 발생하게 되는 순간을 의미함. 다자조약에 있어서 협약이 채택되었다 하더라고 발효되지 않는다면 법적 구속력이 없다고 봄
Environmental Criteria|환경기준(環境基準|NULL
Environmental Effects|환경 영향|NULL
Environmental Protection|환경 보호(環境保護|NULL
Equilibrium|평형(平衡|NULL
Equip|배를)의장하다|NULL
Equipment List|장비 목록표|NULL
Equipment Number|의장수(艤裝數|NULL
Equipment Replacement|장비 대치(裝備代置|NULL
Equivalent Circuit|등가 회로|NULL
Equivalent Direct Radiation|상당 방열 면적|NULL
Erection|탑재|신조선대(Building Berth)나 독(Building Dock)에서 행해지는 선각공사의 총칭으로 지상 조립장에서 완성된 선각블록(Hull Block)들을 차례로 연결시켜 선체를 완성함.
Erection Man|선대조립공|현재는 탑재취부공(Block Fitter)로 호칭됨
Erection Schedule|탑재 일정계획|NULL
Erection Sequence|탑재 순서(搭載順序|NULL
Ergonomics|인간공학(人間工學|NULL
Erosion|침식(浸蝕|NULL
Escape Scuttle|탈출구|비상시에 배 밖으로 탈출하도록 만든 출구
Escape Trunk|탈출통로|비상시에 축로 또는 기관실에서 노천갑판으로 탈출할 수 있게 만든 수직통로
Escape pipe|도출관|안전밸브 등에서 유체를 해방시키는 관
Esge Grain|곧은결 널판|원목의 목심을 포함하는 중앙부를 잘라낸 널판
Establish Acceptance Standards|합격기준 설정(設定|NULL
Estimated Labor Load|추정(推定) 인력부하|NULL
Etching|에칭|금속조직을 현미경으로 관찰하기 위해서 표면을 연마하고 약품으로 부식시켜 온전한 결정모양이 들어나도록 하는 것
Eull Power Trial|전출력시운전|기관을 전출력으로 운전하는 시운전
Eutectic Welding|공정용접|모재보다 융점이 낮은 용접봉으로 산소 아세틸렌불꽃이나 아크열을 이용하여 공정온도 근처에서 융합시키는 용접방법
Evaluation of Alternatives|대안(代案)의 평가|NULL
Evaluation of Current Methods|현행방법의 평가|NULL
Evaluation of Production Performance|생산실적분석|NULL
Evaporating coil|증발 코일|NULL
Even Keel|이븐 키일(트림 0|NULL
Evidence for protecting shipyard|조선소 방어를 위한 증빙자료(證憑資料|NULL
Excavator|굴삭기|NULL
Exceptional Case|예외적인 경우|NULL
Exchange of Notes|교환각서|조약의 서명 절차를 체결하는 주체 간의 각서교환으로써 기술적 성격의 합의에 있어 행정적 수요에 부응하기 위해 사용 예) 한·칠레 사증 면제교환각서 (2004)
Exciter|여자기|NULL
Exciting Current|여자 전류|NULL
Exclusive Economic Zone (EEZ)|배타적경제수역|자국 연안으로부터 200해리까지의 모든 자원에 대해 독점적 권리를 행사할 수 있는 유엔 국제해양법상의 수역을 의미함. 구체적으로 연안국이 자국 해안으로부터 200해리 안에 있는 해양자원의 탐사, 개발 및 보존, 해양환경의 보존과 과학적 조사 활동 등 모든 주권적 권리를 인정하는 유엔 국제해양법상 해역을 칭함 < 출처: https://m.blog.naver.com/PostList.nhn?blogId=daegu803 >
Excursion Boat|회유선|유람객을 싣고 각지를 도는 유람객선
Exemption|면제 규정|협약 제3장의 “모든 어선원을 위한 기초 훈련 및 선상안전친숙화 훈련의 기준”에서 제한 수역에서 조업하는 [길이 24ｍ] 및/또는 미만의 어선의 경우, 어선의 규모와 항해 거리나 특성상 본 절의 전체 요건을 적용하는 것이 불합리하거나 실행 불가능한 것으로 간주한다면, 주관청은 선상 인명, 선박 및 재산의 안전과 해양환경 보호를 염두에 두고, 그러한 어선 또는 어선 급에 종사하는 어선원에 대해 그 요건의 일부를 면제할 수 있도록 하는 규정을 말함
Exhaust Gas Boiler|배기(排氣)가스보일라|NULL
Exhaust Gas Boiler|배기가스보일러|기관의 배기가스만으로 증기 또는 온수를 끓이는 보일러
Exhaust Gas Economizer|배기가스이코노마이저|기관의 배기가스만으로 증기 또는 온수를 끓여 별도의 보일러로 공급하는 장치
Exhaust Gas Recirculation (EGR)|배기가스 재순환 시스템|EGR(Exhaust Gas Recirculation), 엔진 연소 후 배출되는 배기가스 중 일부(30~40%)를 재순환시켜 배기가스 내 산소 농도를 낮추어 질소산화물 발생을 저감시키는 기술임
Exhaust Gas Turbine|배기가스터빈|내열기관에서 배출되는 가스의 열에너지를 이용하여 운영하는 가스터빈
Exhaust Manifold|배기 메니홀드|NULL
Exhaust Manifold|배기다기관|다실린더기관에서 각 실린더의 배기를 한데 모아서 배출하는 관
Exhaust Steam Oil Separator|배기분유기|갑판기계 등에 사용된 배출증기 중에 함유된 기름을 분리하는 장치
Exhaust Valve|배기 밸브|NULL
Existing Ship|현존선(現存船|NULL
Expanded Metal|익스팬디드 메탈|NULL
Expanded Metal|인장철망판|얇은 판에 프레스로 규칙적인 구멍을 내고 양단을 잡아당겨 만든 철망판
Expanded Metal Grating|팽창격자|강재의 틀에 팽창메탈을 끼워 만든 격자
Expansion|팽창|물체의 길이나 부피가 처음보다 늘어나는 현상
Expansion Engine|팽창기관|기체의 팽창현상을 이용하여 열에너지를 유용한 기계적 에너지로 변환하는 기관
Expansion Hatch|익스팬션해치|온도상승에 따른 화물유의 팽창에 대비하여 창구코밍을 높게 한 해치
Expansion Joint|신축(伸縮) 이음|NULL
Expansion Joint|신축이음쇠|온도변화에 의한 신축을 허용하는 이음부
Expansion Pipe Joint|신축관이음새|관의 신축량을 흡수할 수 있는 이음쇠
Expansion Plan|전개도|다면체나 곡면체의 표면을 평면상에 펼쳐그린 도면
Expansion Tank|팽창(膨脹)탱크|NULL
Expansion Tank|팽창탱크|온도상승으로 생기는 액체의 팽창을 감안하여 최상부에 대기와 접한 상태로 설치한 탱크
Expedite|촉진(促進|NULL
Expension Loop|신축(伸縮) 루우프|NULL
Experimental Model Basin|모형(模型) 실험수조|NULL
Expert System|전문가 시스템|NULL
Expire Date|시효만기(時效滿期)일|NULL
Explicit acceptance|명시적 수락|통상 협약의 수락 절차는 명시적(Explicit) 수락과 묵시적(Tacit) 수락으로 나뉘며, 명시적 수락은 협약의 개정 사항 채택 이후 정해진 별도 수락 기간이 없고 분명한 수락 의사를 밝히는 방법을 지칭함
Explosion|방폭전기기기의 구조별표시방법|NULL
Explosion|폭발|급격한 산화작용의 일종으로 팽창과 발열 등이 수반되는 현상
Explosion - Grade|방폭형 전기기기 표시기호|NULL
Explosion - Temp|방폭전기기기 최고표면온도|NULL
Explosion Risk|폭발 위험(爆發危險|NULL
Explosion prove|방폭형|NULL
Explosion-Proof Lamp|방폭등(防爆燈|NULL
Explosion-Proof Motor|방폭형 전동기|NULL
Explosion-proof (Fire-proof) Apparatus|방폭기기|폭발성 가스나 증기가 있는 공간에서 안전하게 작동될 수 있는 기기
Explosive Atmosphere|폭발위험 구역|NULL
Explosive Welding|폭발용접|화약의 폭발에 의한 충격압력으로 접합하는 용접법
Exposed Core|노출 심선부|피복아크 용접봉의 끝을 홀더에 끼우도록 피복하지 않고 노출되어있는 부분
Exposed Core|노출심|피복아크용접봉의 심이 노출된 끝부분
Exposed Deck|노천갑판(露天 甲板|NULL
Exposed Wind Area|바람맞이면적|풍향에 수직한 평면에 대한 선체 수선면 상부구조물의 투영면적
Extended Producer Responsibility (EPR)|생산자책임재활용제도|자원 절약과 재활용 촉진에 관한 법률 시행령에 따라 재활용이 가능한 폐기물의 일정량 이상을 재활용하도록 생산자에게 의무를 부여하는 제도
Extension Rod|연장(延長)막대|NULL
Extent of Work|작업범위(作業範圍|NULL
External Audit|외부감사관|IMO 재정 규정 및 규칙(FRFR)에 따라 총회에서 4년의 임기로 외부감사관을 지명하도록 하고 있음
External Design Agency|설계 용역(設計用役|NULL
External Pressure|외압|용기의 외부에서 작용하는 압력
Extra Stock on the Plating|강재의 잉여부|NULL
Extra Work|추가공사(追加工事|NULL
Extraction Tower|추출탑(抽出塔|NULL
Extreme Breadth|전폭(全幅|NULL
Extreme Length|전장(全長|NULL
Extreme Ultraviolet radiation|극자외선|NULL
Extruding Machine|압출기|고온으로 가열한 빌렛을 용기에 넣고 램으로 다이스의 구멍을 통하여 밀어내어 봉이나 관을 만드는 기계
Eye Bolt|아이볼트|끝에 구명이 뚤린 볼트
Eye Plate|아이 플레이트|NULL
Eye Sorice|아이스프라이스|로프 끝에 고리를 만드는 방법
Eyebrow/ Brow|물받이 (Door 등의 상부|NULL
F W Tank|청수탱크|배에 청수를 저장하는 탱크
FA (Factory Automation|공장 자동화|NULL
FABRICATION SEQUENCE|제작순서도|NULL
FABRICATION SEQUENCE DIAGRAM|제작순서도|NULL
FACTORY AUTOMATION|공장 자동화|NULL
FAILURE MODE EFFECT ANALYSIS|고장 모드 효과 해석|NULL
FAL Convention|국제해상교통간소화협약|국제해상교통간소화협약(Facilitation Convention), 국제항해에 종사하는 선박의 입항·정박 및 출항에 관한 요식행위, 서류상의 요건, 수속절차 등을 단순화하고 최소한으로 줄임으로써 해상교통을 쉽게 하기 위한 협약으로, 1965년 4월에 채택, 1967년 3월에 발효되었으며 우리나라에는 2001년 5월부터 동 협약이 발효됨
FAL Forms|FAL 양식|FAL 협약(FAL Convention)의 체결에 따라 각 국가의 특수성으로 인하여 불필요하게 해상무역을 방해하는 정보 및 형식이 다른 다양한 종류의 문서를 표준화한 7개의 문서 양식 FAL Form 1 일반신고서(General Declaration) FAL Form 2 화물 신고서(Cargo Declaration) FAL Form 3 선용품 신고서(Ship's Stores Declaration) FAL Form 4 승무원 선용품 신고서(Crew's Effects FAL Form 5 승무원 명부(Crew List) FAL Form 6 여객 명부(Passenger List) FAL Form 7 위험화물 적하 목록(Dangerous Goods Manifest)
FAR EASTERN FREIGHT CONFERENCE|구주 운임 동맹|NULL
FARADAY'S LAW|패러데이 법칙|NULL
FAST TIME CONSTANT CIRCUIT|소 시상수 회로|NULL
FASTENER|화스너|NULL
FCAW(Flux Cored Arc Welding|플럭스 코어드 아크 용접(熔接|NULL
FD( Forced Draft ) Fan|강제통풍 팬|NULL
FEDERAL COMMUNICATION COMMISSION|미국 연방 통신 위원회|NULL
FEM(Finite Element Method|유한요소(有限要所)법|NULL
FEU(Forty-Feet Equivalent Unit|컨테이너(40ft) 환산적재량|NULL
FIBER GLASS REINFORCED PLASTICS|유리섬유 강화 플라스틱|NULL
FIBER-GLASS REINFORCED PLASTIC|유리섬유보강 플라스틱|NULL
FIELD EFFECT TRANSISTOR|전계 효과 트랜지스터|NULL
FIELD STRENGTH|전계 강도|NULL
FILLET WELDING|필렛용접|NULL
FILTER|필터 [ 광학 ]|NULL
FINISH TO FINISH|선행작업종료일 + - 본작업종료|NULL
FINISH TO START|선행작업종료일 + - 본작업일수|NULL
FIRE & GAS DETECTION SYSTEM|화기가스 감지 시스템|NULL
FIRE & WASH DECK|소화 및 갑판수세라인|NULL
FIT-UP INSPECTION|취부검사|NULL
FLAME CLEANING|화염 크리닝|NULL
FLAME CLEANING|화염크리닝|NULL
FLANGE [FLG]|후렌지|NULL
FLASH|섬광|NULL
FLAT BAR|평형강|NULL
FLAT POSITION|아래 보기 자세|NULL
FLAT POSITION WELDING|아래 자세 용접|NULL
FLEMING'S LEFTHAND RULE|플레밍의 왼손법칙|NULL
FLEX COPPER BACKING|(편면잠호용접용) 동당금|NULL
FLEXIBLE ADHESIVE BACKING|(편면잠호용접용) 고형 후락스 백킹|NULL
FLEXIBLE MANUFACTURING SYSTEM|다품종 소량 생산 시스템|NULL
FLINITE ELEMENT METHOD|유한요소분석법|NULL
FLOATING|1차 진수|NULL
FLOATING GATE AMPLIFIER|부동 게이트 증폭기|NULL
FLOW COATING|흘림도장|NULL
FLUX CHANGES PER INCH|매 인치 당 자속 반전수|NULL
FLUX CORED ARC WELDING|후럭스 코드 아크 용접|NULL
FLYING SPOT SCANNER|비점 주사 장치|NULL
FM(Frequency Modulation|주파수 변조|NULL
FMS (Flexible Manufacturing Sys.|유연(柔軟) 생산체계|NULL
FOAM|거품|NULL
FOB(Free On-Board|수출항 본선인도 가격|NULL
FOC(Fuel Oil Consumption|연료 소모량|NULL
FONAR|적합 연료유 이용 불가시 보고서|FONAR(Fuel Oil Non-Availability Report), 적합 저유항 연료유 이용 불가시 제출하는 보고서로 벙커링 예정 항만 당국, 기국 및 입항지 당국의 동의 후 한 항차만 부 적합유 사용이 가능함
FORCED DRAFT FAN|강제통풍장치|NULL
FORCED MONTHLY CONSUMPTION QUANTITY|인위적인 월평균 소모량|NULL
FORE DRAFT AT F.P.|선수 홀수|NULL
FORE PEAK TANK|선수 피이크 탱크|NULL
FORE PERPENDICULAR|선수부 수선|NULL
FORECASTLE DECK|선수갑판|NULL
FORTY FEE EQUIVALENT UNIT|40 피트 콘테이너|NULL
FORWARD|앞쪽으로|NULL
FORWARD ERROR CORRECTION|순방향 오류 정정법|NULL
FOUNDATION|고정대, 받침대|NULL
FP (Fore Perpendicular|선수 수선(船首垂線|NULL
FPP(Fixed Pitch Propeller|고정피치 프로펠라|NULL
FPSO|부유식 원유생산 저장 하역설비|FPSO (Floating Production Storage and Off-loading), 화물을 운송 목적으로 하는 일반적인 선박이 아닌, 해상의 일정 지역에 머물면서 해저에서 원유를 뽑아 올려 정유 제품을 생산하여 보관하고, 타 선박에 이송하는 해상 복합 구조물. 기관을 장착하여 저항능력을 갖춘 것도 있으며, 자항 능력이 없이 예인선에 의해 이동되는 것도 있음
FPT(Forepeak Tank|선수 피이크 탱크|NULL
FRAME|늑골|NULL
FRAME GROUND|프레임 접지|NULL
FRAME NO.|선체부재위치를 표시하는 단면번호|NULL
FREE ALONGSIDE SHIP|선측 인도조건|NULL
FREE IN|적하비 화주 부담|NULL
FREE IN AND OUT|적하비, 양하비 화주 부담|NULL
FREE OF CHARGE|상업 용어(공짜)|NULL
FREE OUT|양하비 화주 부담|NULL
FREE on BOARD|선상 인도 조건|NULL
FREEBOARD|건현|선박의 중앙에 있어서 만재 흘수선에서 건현갑판까지 거리로써, 국제항해를 하는 선박의 경우 ICLL (국제만재흘수선 협약)에 따라 충분한 예비부력을 확보하기 위해서 최소건현을 요구하고 있으며, 해당 계산의 기준에 따라서 각종 설비 요구 조건이 결정됨
FREEBOARD DECK|건현갑판|통상적으로 외기 및 해수에 노출된 최상층의 전통 갑판으로서 그 노출부에 있는 모든 개구부에 상설 폐쇄 장치가 있고 하방의 선 측에 있는 모든 개구부에는 상설 수밀 폐쇄 장치를 가진 갑판을 의미함, 따라서 각종 설비의 폐쇄 장치를 설치하는 기준이 되는 갑판으로 건현 계산에 따라서 갑판의 높이가 확정됨
FREEBOARD LENGTH|건현 길이|용골 상면으로부터 측정한 최소형 깊이의 85%에 있어서 수선에서 전 길이의 96% 또는 그 수선 상의 선수재의 전면으로부터 타두재의 중심까지 길이 중 큰 것을 의미함
FREEBOARD LENGTH|등록길이|NULL
FREON|프레온가스(전기 냉장고의 냉매)|NULL
FREQUENCY|공진주파수|NULL
FREQUENCY DIVISION MULTIPLEX|주파수 분할 다중 통신|NULL
FREQUENCY DIVISION MULTIPLEX ACCESS|주파수 분할 다원 접속|NULL
FREQUENCY MODULATION|주파수 변조|NULL
FREQUENCY OF OPTIMUM TRAFFIC|최적 사용 주파수|NULL
FREQUENCY SHIFT KEYING|주파수 편이 방식|NULL
FRESH WATER|청수|NULL
FRESH WATER TANK|청수 탱크|NULL
FRESH WATER TANK|청수탱크|NULL
FRFR|재정 규정 및 규칙|FRFR (Financial Regulations and Financial Rules), 국제해사기구(IMO)는 자체적으로 재정 규정 및 규칙을 보유하며, 이에 따라 기구 차원에서 관리하는 각종 기금에 대한 예산편성 및 내·외부 감사를 진행하고 있음. 또한 회계감사 결과 (Financial Report) 보고서를 발행하여 회원국에 관련 정보를 공유
FRP(Fiber Reinforced Plastics|섬유강화 플라스틱|NULL
FSA|공식안전성평가|FSA (Formal Safety Assessment), IMO가 원자력 발전소를 비롯한 육상산업 분야에서 사용하던 위험분석(risk analysis)을 해사 산업 분야에 적용할 때 도입한 이름으로 해상에서의 인명의 안전과 해양환경 보호하기 위하여 위험성 평가, 비용-이익 평가 등을 사용하는 조직적이고 체계적인 안전평가 체제
FSD (Fabrication Sequence Diagram|제작 절차서|NULL
FSS Code|화재안전장치 기준|FSS Code (International Code for Fire Safety Systems), 선박의 화재 안전장치에 대한 기준. 고정식 소화장치, 화재탐지장치, 휴대식 소화기, 인원 보호를 위한 장구 등 선박의 화재 안전을 위한 각종 설비를 규정하고 있음
FTP Code|화재시험절차 기준|FTP Code (Fire Test Procedures Code), 화재시험절차에 대한 기준. SOLAS Ch.II-2(방화, 화재탐지 및 소화)에 따라 요구되는 각종 실험실에서의 시험, 형식승인 및 화재시험절차에 대한 요건을 규정하고 있음
FUEL GAS|탈황설비|NULL
FUEL GAS DESULFURIZATION|탈황설비|NULL
FUEL OIL|연료유|NULL
FUEL OIL & DIESEL OIL|연료유|NULL
FUEL OIL TANK|연료 탱크|NULL
FUELING AT SEA|해상 연료 수급 장치|NULL
FULL PENETRATION|완전용입용접|NULL
FUNCTION TEST|작동 시험|NULL
FUSE|고리퓨즈|NULL
FUSE|비포장퓨즈|NULL
FUSE|전동기용 퓨즈|NULL
FUSE|포장퓨즈|NULL
FUSE|퓨즈 -A 종|NULL
FUSE|퓨즈 -B 종|NULL
FUSE|한류퓨즈|NULL
FWT (Fresh Water Tank|청수(淸水) 탱크|NULL
Fabrication (Fab.|제작(製作)，가공|NULL
Fabrication Line Plan|가공 송선계획|NULL
Fabrication Shop|가공 공장|NULL
Face Bend Specimen|표면굽힘 시험편|맞대기 용접의 표면(루트의 반대쪽)에 인장력이 걸리도록 굽히는 시험편
Face Cavitation|앞면캐비테이션|프로펠러 날개의 압력면(앞면)에 생기는 캐비테이션
Face Lathe|정면선반|지름이 크고 짧은 가공물을 다루는 선반으로 베드가 짧고 지름이 크며 중심지지대가 없음
Face Plate|면재(面材|NULL
Facilities Layout|설비 배치(設備配置|NULL
Facing Up|맞비빔 맞춤|NULL
Facsimile|팩시밀|서류나 도면을 송신하는 장치
Facsimile Recorder|팩시밀리 기록기|NULL
Factory Automation|공장 자동화|NULL
Factory Ship|공모선|포획어류의 가공과 모선 역할을 하는 어선
Factory Shipa|가공선|선내에 수산물 가공설비를 갖추고 어선에서 수획한 어류를 선상에서 가공하는 선박
Fail-Safe|페일 세이프|NULL
Fail-safe|페일세이프|기계장치가 고장이 생겨도 안전모드로 바뀌어져서 작동하는 것
Failure Mode Effect|고장 모드 효과 해석|NULL
Failure Modes and Effects Analysis (FMEA)|고장 형태 및 영향 분석|각 부품의 고장이 어떻게 전체 시스템에 영향을 미치는지를 분석하여 각 고장에 대응하는 적절한 안전장치가 마련되어 있는지를 분석하는 방법.
Failure Modes and Effects, and Criticality Analysis (FMECA)|고장 형태, 영향 및 심각도 분석|계량화된 고장 형태 및 영향 분석
Failure Rate|고장율(故障率|NULL
Fair treatment of seafarers|선원의 공정한 대우|2005년 9월 발효된 ‘선박 기인 오염사고에 대한 EU 지침’ 규정에 따라 해양오염 사고 시 선원까지 형사처벌 되거나, 유럽 내 과거 해양오염사고 관련 선장과 선원을 구속함으로써 선원 형사처벌이 강화됨. 이에 따라 국제 해운 단체, 선원노조 및 관련국은 동 조치가 선박 운항의 어려움 가속 및 선원직 기피 심화의 이유로 우려를 표명하게 되고 해양사고 시 공정한 대우에 대해 논의하기에 이름. 따라서, 2006년 05년 12월, 해양사고 시 선원의 공정한 대우에 관한 총회결의서(A.987(24))를 채택하고 2006년 해양사고 시 선원의 공정한 대우에 관한 지침을 마련함. 주요 내용은 아래와 같음 모든 해양사고 및 모든 선원에 적용 해양사고 조사의 원활한 진행을 위하여 이해당사자 (항만국 (연안국), 기국, 선원국, 선주 및 선원)간 협력 체제 구축 미국법 및 EU 지침에 비하여 선원 인권 보호 및 법적 지위 보장
Fairing|순정작업|선체선도의 곡선들을 무리한 점이 없도록 수정하는 작업
Fairing|페어링|선체선도상의 곡선들을 무리없는 곡선(Fair Curve)이 되도록 수정하는 작업
Fairing (up|곡직(曲直|NULL
Fairing of Lines|선도순정(線圖純整|NULL
Fairleader|페어리이더|NULL
False Bottom|가저(假底|NULL
Faraday's Law|패러데이 법칙|NULL
Fashion Plate|패선판|선수재판(Stem Platte)상단의 벌어진 부분의 별칭
Fast Time constant Circuit|소 시상수 회로|NULL
Fathometer|측심기(測深器|NULL
Fatigue|피로|재료에 반복하중이 걸리면 재료의 강도가 정하중에서 견디는 강도보다 낮아지는 현상
Fatigue Allowance|피로 여유(疲勞餘裕|NULL
Fatigue Analysis|피로 해석|NULL
Fatigue Strength|피로강도(疲勞强度|NULL
Fatigue Tedt|피로시험|피로한도를 결정하기 위해 실시하는 시험
Fatigue Test|피로 시험|NULL
Faucet|수도꼭지|NULL
Fault Tree Analysis (FTA)|결함수 분석|고장분석 방법의 하나로서, 시스템의 비정상적 상태(예 : 고장, 성능 하락)를 하위시스템의 상태나 사건을 조합하는 불리안 논리 (boolean logic)로 표현하여 시스템의 고장률을 정량적으로 산출 하는 방법. 나뭇가지와 같이 하위시스템으로 순차적인 전개를 통하여 결국 시스템의 비정상적 상태는 개별 요소 사건(basic event)의 조합으로 표현됨
Faying Flange|페잉플랜지|형재를 판에 세워붙일 때 판에 접하도록 붙이는 플랜지
Feasibility Study|타당성(妥當性) 연구|NULL
Feathering Step|수평유지디딤판|현측사다리의 경사각도가 달라져도 수평을 유지하도록 구조된 발판
Federal Communication|미국 연방 통신 위원회|NULL
Feeder|피더장치|산적화물선 등에서 곡물류를 화물창 윗구석까지 채우기 위하여 해치코밍을 높게 해주는 등의 장치
Feeder Panel|급전반|선내에 전원을 공급하는 패널
Feedwater Regulation Valve|급수(給水)조절 밸브|NULL
Feeler Gauge|필러(틈새)게이지|NULL
Fender|방현재|선박이 안벽이나 다른 선박과 접촉할 때 손상과 충격을 막기 위하여 양현에 붙이는 완충재
Fender|방현재(防舷材|NULL
Fender Tower|펜더타워|푸셔바지(Pusher Barge)에서 푸셔와 바지의 연결부에 있는 탑모양의 완충구조물
Fiber Glass|유리섬유|NULL
Fiber glass Reinforced|유리섬유 강화 플라스틱|NULL
Fiberglass Reinforced Plastic (FRP)|섬유 강화플라스틱|에폭시 수지나 폴리에스테르 수지 등에 유리 섬유나 탄소 섬유를 혼합한 복합 소재를 섬유 강화플라스틱이라고 함. 이 소재는 플라스틱이 갖는 장점 즉 가벼운 무게와 녹슬지 않고 가공이 쉬운 특징을 갖고 있으며, 이에 더하여 강도가 증가하여 쉽게 깨지지 않고 열을 가해도 변형되지 않은 특성이 있음
Fiddle Head|선수장식|선수부 양현에 붙여지는 장식조각
Field Effect Transistor|전계 효과 트랜지스터|NULL
Field Engineer|현장기사(現場技士|NULL
Field Fabrication|현장제작(現場製作|NULL
Field Plan|현업(現業) 생산계획|NULL
Field Run/Routing Pipe|형취관(形取管|NULL
Field Strength|전계 강도|NULL
Fife Rail|돌출난간|마스트 둘레 또는 주변 갑판상에 설치되는 난간
Filler Metal|용가재|용접금속으로 첨가되는 금속재
Filler Metal|용가재(熔加材|NULL
Fillet Weld in Parallel Shear|옆면필릿용접|용접선의 방향이 그 부위에 걸리는 힘의 방향과 나란히 가는 필렛용접
Fillet Welding|필렛 용접|NULL
Film Lubrication|유막윤활|마찰면 사이에 유막을 형성시켜 윤활하는 방법
Filter|필터 [ 광학 ]|NULL
Fin Stabilizer|핀 안정기(安定機|NULL
Fin-stabilizer|안정지느러미|지느러미 모양의 판을 선체중앙부 양현에 달고 유선에 대한 앙각을 변화시켜서 배의 횡동요를 줄여주는 장치
Final Coating|겉칠|밑칠 중간칠을 마친 후 마지막으로 바르는 칠
Final Drawing|승인완료 도면|NULL
Final Sighting|최종 축심 투시 (最終軸芯透視|NULL
Financial security|재정보증|선박소유자가 도산 및 파산 등의 사유로 선원을 송환시킬 수 없는 경우 등 선원의 유기가 발생할 경우, 송환을 담보하기 위해서 재정보증제도가 필요함. 2006년 ILO 해사노동협약에서 회원국은 선원이 정당하게 송환되도록 보장하기 위하여 자국의 국기를 게양하는 선박으로 하여금 재정보증을 마련할 것을 요구하고 있음. 재정보증의 범위와 관련하여 재정보증장치에 의한 지원은 다음 하나를 보증하기에 충분하여야 함 체불임금, 근로계약 등에 의해 선박소유자가 선원에게 지불해야 할 기타권리 (단, 4개월까지의 체불임금과 기타권리로 제한) 송환 비용을 포함한 선원이 부담한 합리적 금액 선원이 집에 도착할 때까지 유기를 구성하는 작위 또는 부작위로 발생한 식량, 필요 시 피복, 주거, 식수 공급, 선내 생존을 위한 필수 연료, 필요한 의료관리 및 그 밖의 합리적인 비용 또는 부과금 등을 포함하는 선원의 필수 경비 우리나라 선원법(제42조의2)에서도 ‘유기구제보험 등의 가입 등’을 규정하고 있으며 선박 소유자로 하여금 유기된 선원을 구제하기 위하여 대통령령으로 정하는 보험 또는 공제(이하 ‘유기구제보험 등’)에 가입하도록 하고 있음
Findings and Conclusions|현상 및 결론|NULL
Fine Control|미세조정(微細調整|NULL
Finish Paint|마감 도장|NULL
Finish Symbol|다듬질 기호|NULL
Fire & Gas Detection|화기가스 감지 시스템|NULL
Fire Alarm System|화재경보기장치|화재의 발생을 자동적 또는 인위적으로 경보하는 장치
Fire Axe|소방도끼|불끌 때 쓰는 도끼
Fire Bucket|소방버킷|불끌 때 쓰는 손잡이 물통
Fire Classification|화재의 분류(分類|NULL
Fire Clay|내화점토|내화벽돌 쌓기나 기타 내화물의 메우기 등에 사용되는 내화도가 높은 점토
Fire Control Station|소화 통제실|NULL
Fire Cracker Welding|불꽃전파용접|피복아크 용접봉을 용접 이음부에 따라 밀착시키고 구리로 된 지그로 한쪽 끝에서 눌러 아크를 발생시켜 용접봉을 따라 자동적으로 용접되게 하는 용접법
Fire Damper|방화용 댐퍼|NULL
